product_id,product_name,category,subcategory,brand,selling_price,cost_price,stock_quantity,rating,launch_date
P00001,KnowledgeHouse Ultra Fiction,Books,Fiction,KnowledgeHouse,1100,790,377,3.2,2023-06-22
P00002,KnowledgeHouse Modern Self Help,Books,Self Help,KnowledgeHouse,1830,1440,47,3.5,2023-02-08
P00003,FitCore Everyday Sportswear,Sports & Fitness,Sportswear,FitCore,6760,3710,359,4.0,2024-03-03
P00004,TrendRoot Ultra Trousers,Fashion,Trousers,TrendRoot,6930,3440,388,4.4,2024-01-16
P00005,ReadMore Ultra Business,Books,Business,ReadMore,740,540,390,3.7,2023-12-13
P00006,NovaTech Essential Smartwatches,Electronics,Smartwatches,NovaTech,45380,26720,413,2.9,2023-08-05
P00007,GlowPure Pro Personal Care,Beauty & Personal Care,Personal Care,GlowPure,800,490,424,4.1,2023-06-09
P00008,KitchenPro Classic Home Decor,Home & Kitchen,Home Decor,KitchenPro,1700,970,395,3.6,2025-04-27
P00009,PixelPro Classic Accessories,Electronics,Accessories,PixelPro,50120,35220,325,4.4,2023-05-16
P00010,StreetLine Smart Jeans,Fashion,Jeans,StreetLine,5790,4090,479,4.2,2024-10-17
P00011,ZenByte Advanced Tablets,Electronics,Tablets,ZenByte,70310,38310,83,3.9,2023-02-19
P00012,ComfortCraft Smart Lighting,Home & Kitchen,Lighting,ComfortCraft,22630,15540,393,4.3,2023-02-16
P00013,UrbanThread Essential Jackets,Fashion,Jackets,UrbanThread,3590,2540,108,4.6,2023-05-26
P00014,ActivePro Elite Yoga,Sports & Fitness,Yoga,ActivePro,13210,6480,329,3.9,2023-12-06
P00015,KitchenPro Everyday Furniture,Home & Kitchen,Furniture,KitchenPro,17860,12650,299,3.8,2023-12-28
P00016,RunX Smart Outdoor Sports,Sports & Fitness,Outdoor Sports,RunX,4780,2970,46,4.3,2025-02-24
P00017,ZenByte Advanced Laptops,Electronics,Laptops,ZenByte,55630,32890,197,3.8,2023-02-11
P00018,AuraBeauty Everyday Personal Care,Beauty & Personal Care,Personal Care,AuraBeauty,240,130,58,4.2,2025-05-21
P00019,RunX Classic Yoga,Sports & Fitness,Yoga,RunX,9870,6390,232,2.6,2023-11-05
P00020,ReadMore Everyday Academic,Books,Academic,ReadMore,830,520,54,4.5,2025-04-26
P00021,ComfortCraft Modern Lighting,Home & Kitchen,Lighting,ComfortCraft,6720,5020,390,3.3,2024-10-13
P00022,FlexFit Essential Running,Sports & Fitness,Running,FlexFit,16260,12900,475,3.7,2023-12-09
P00023,HomeNest Smart Furniture,Home & Kitchen,Furniture,HomeNest,18790,8800,43,4.3,2024-11-28
P00024,Auralink Advanced Accessories,Electronics,Accessories,Auralink,17130,9750,484,4.0,2024-03-08
P00025,ComfortCraft Pro Home Decor,Home & Kitchen,Home Decor,ComfortCraft,7140,3390,386,4.3,2023-01-11
P00026,StreetLine Pro Footwear,Fashion,Footwear,StreetLine,5800,3320,224,4.6,2023-09-06
P00027,DermaCare Smart Skincare,Beauty & Personal Care,Skincare,DermaCare,670,460,301,4.0,2024-10-18
